,W/L,Fighter,Kd,Str,Td,Sub,Weight class,Method,Round,Time,Event
3341,win,Edson Barboza  Paul Felder,0  0,64  47,0  0,0  0,Lightweight,U-DEC,3,5:00,"
              UFC on FOX: Dillashaw vs. Barao II
            "
3342,win,Joe Lauzon  Takanori Gomi,0  0,15  7,1  0,0  0,Lightweight,KO/TKO  Punches,1,2:37,"
              UFC on FOX: Dillashaw vs. Barao II
            "
3343,win,Tom Lawlor  Gian Villante,1  0,22  31,0  1,0  0,Light Heavyweight,KO/TKO  Punch,2,0:27,"
              UFC on FOX: Dillashaw vs. Barao II
            "
3344,win,Jim Miller  Danny Castillo,0  0,45  35,2  0,0  0,Lightweight,S-DEC,3,5:00,"
              UFC on FOX: Dillashaw vs. Barao II
            "
3345,win,Ben Saunders  Kenny Robertson,0  1,98  91,0  2,0  0,Welterweight,S-DEC,3,5:00,"
              UFC on FOX: Dillashaw vs. Barao II
            "
3346,win,Bryan Caraway  Eddie Wineland,0  0,61  52,0  0,0  0,Bantamweight,U-DEC,3,5:00,"
              UFC on FOX: Dillashaw vs. Barao II
            "
3347,win,James Krause  Daron Cruickshank,0  0,10  6,1  0,1  0,Lightweight,SUB  Rear Naked Choke,1,1:27,"
              UFC on FOX: Dillashaw vs. Barao II
            "
3348,win,Andrew Holbrook  Ramsey Nijem,0  0,20  29,0  6,2  0,Lightweight,S-DEC,3,5:00,"
              UFC on FOX: Dillashaw vs. Barao II
            "
3349,win,Elizabeth Phillips  Jessamyn Duke,0  0,49  36,2  2,1  3,Women's Bantamweight,U-DEC,3,5:00,"
              UFC on FOX: Dillashaw vs. Barao II
            "
3350,win,Zak Cummings  Dominique Steele,1  0,14  2,0  0,0  0,Middleweight,KO/TKO  Punches,1,0:43,"
              UFC on FOX: Dillashaw vs. Barao II
            "
3351,win,Michael Bisping  Thales Leites,0  0,115  79,0  1,0  0,Middleweight,S-DEC,5,5:00,"
              UFC Fight Night: Bisping vs Leites
            "
3352,win,Evan Dunham  Ross Pearson,0  0,26  16,5  0,1  0,Lightweight,U-DEC,3,5:00,"
              UFC Fight Night: Bisping vs Leites
            "
3353,win,Joe Duffy  Ivan Jorge,0  0,8  7,0  0,1  0,Lightweight,SUB  Triangle Choke,1,3:05,"
              UFC Fight Night: Bisping vs Leites
            "
3354,win,Joanne Wood  Cortney Casey,1  0,90  57,3  0,0  0,Women's Strawweight,U-DEC,3,5:00,"
              UFC Fight Night: Bisping vs Leites
            "
3355,win,Leon Edwards  Pawel Pawlak,1  0,36  24,0  0,0  0,Welterweight,U-DEC,3,5:00,"
              UFC Fight Night: Bisping vs Leites
            "
3356,win,Stevie Ray  Leonardo Mafra,1  0,19  23,0  0,0  0,Lightweight,KO/TKO  Punches,1,2:30,"
              UFC Fight Night: Bisping vs Leites
            "
3357,win,Paddy Holohan  Vaughan Lee,0  0,28  27,1  0,2  1,Flyweight,U-DEC,3,5:00,"
              UFC Fight Night: Bisping vs Leites
            "
3358,win,Ilir Latifi  Hans Stringer,1  0,7  2,0  0,0  0,Light Heavyweight,KO/TKO  Punch,1,0:56,"
              UFC Fight Night: Bisping vs Leites
            "
